"ID","Enumerator","Fasilitas","Wilayah","Thn Pembangunan","Thn Rehabilitasi","Kapasitas Desain","Kapasitas Pakai","Sistem","Kondisi","Pengelola","Pengecekan","Nama Lembaga","Bentuk Lembaga","Jlh Anggota","Kel Bidang","Operasional","Asset","Status","Latitude","Longitude"
"62","Chairul Ichsan","IPAL dan Perpipaan Desa Jati Rejo Kec. Pagar Merbau_DAK 2018","Jalan Dusun Mawar Desa Jati Rejo Kec. Pagar Merbau","2018","2018","50","25","Anaerobic baffled reactor-bak pengendapan kedua","Baik","Kelompok Swadaya Masyarakat (KSM)","Tidak dilakukan","KSM Amanah","KSM AMANAH","3 orang","Perawatan dan pemeliharaan IPAL","Iuran masyarakat","Bangunan dan fasilitasi IPAL","Serah terima aset","3.508322","98.9031514"
"63","Chairul Ichsan","IPAL dan Perpipaan Kel. Cemara Kec. Lubuk Pakam_DAK 2018","Jala Galang gg Dalang Bejo lingkungan IV Kel. Cemara Kec. Lubuk Pakam","2018","2018","50","0","Anaerobic baffled reactor-bak pengendapan kedua","Rusak","Kelompok Swadaya Masyarakat (KSM)","Tidak dilakukan","KSM Melati","KSM MELATI","1 orang","Perawatan dan pemeliharaan IPAL","Tidak ada","Bangunan dan fasilitasi IPAL","Serah terima aset","3.5489191","98.8807209"
"64","manalu_garang","IPAL dan Perpipaan Desa Sekip (Dusun Ampera Selatan) Kec. Lubuk Pakam_Sanimas IDB 2018","Jl. Ampera Selatan Desa Sekip","2018","2018","60","30","Anaerobic baffled reactor-bak pengendapan kedua","Baik","Kelompok Swadaya Masyarakat (KSM)","Tidak dilakukan","KSM Raflesia","KSM RAFLESIA","1 orang","Perawatan dan pemeliharaan IPAL","Tidak ada","Bangunan dan fasilitasi IPAL","Serah terima aset","3.5648665","98.8794241"
"65","manalu_garang","IPALD Skala Permukiman Desa Tanjung Garbus I Kec. Lubuk Pakam","Komplek Stadion Baharuddin Siregar dusun I & dusun II Desa Tanjung Garbus","2018","2018","400","287","Anaerobic baffled reactor-bak pengendapan kedua dan Suspended Solid removal","Baik","UPTD","Dilakukan","UPTD PALD","UPTD PALD","3 orang","Perawatan dan pemeliharaan IPAL","Anggaran Dinas","Bangunan dan fasilitasi IPAL","Serah terima aset","3.5494735","98.862761"
"66","manalu_garang","IPALD Dusun II Desa Bah Perak Kec. Bangun Purba_DAK 2019","Dusun II DESA BAH PERAK","2019","2019","60","60","Anaerobic baffled reactor-bak pengendapan kedua","Baik","Kelompok Swadaya Masyarakat (KSM)","Tidak dilakukan","KSM Dosni Arih","KSM DOSNI ARIH","1 orang","Perawatan dan pemeliharaan IPAL","Tidak ada","Bangunan dan fasilitasi IPAL","Serah terima aset","3.3511136","98.8348656"
"67","manalu_garang","IPALD Dusun VII Desa Cinta Rakyat Kec. Percut Sei Tuan_Sanimas IDB 2019","Dusun VIII  gang Rubingan Desa cinta rakyat","2019","2019","50","40","Anaerobic baffled reactor-bak pengendapan kedua","Rusak","Kelompok Swadaya Masyarakat (KSM)","Tidak dilakukan","KSM Jati Mas","KSM JATI MAS","0 orang","Perawatan dan pemeliharaan IPAL","Tidak Ada","Bangunan dan fasilitasi IPAL","Serah terima aset","3.67532","98.7547879"
"68","Chairul Ichsan","IPALD Link. II (Tahap II) Kel. Kenangan Kec. Percut Sei Tuan_Sanimas IDB 2019","Lorong bejo link. II Kel. Kenangan Kec. Percut Sei Tuan","2019","2019","50","50","Anaerobic baffled reactor-bak pengendapan kedua","Baik","Kelompok Swadaya Masyarakat (KSM)","Tidak dilakukan","KSM Pelajar","KSM PELAJAR","0 orang","Perawatan dan pemeliharaan IPAL","Tidak ada","Bangunan dan fasilitasi IPAL","Serah terima aset","3.5876618","98.702214"
"69","manalu_garang","IPALD Desa Saentis Dusun XX Kec. Percut Sei Tuan_Sanimas IDB 2019","Dusun xx Dewi Sinto Desa Saentis","2019","2019","50","32","Anaerobic baffled reactor-bak pengendapan kedua","Rusak","Kelompok Swadaya Masyarakat (KSM)","Tidak dilakukan","KSM Dewi Sinto","KSM DEWI SINTO ketua Agus Naidi","7 orang","Perawatan dan pemeliharaan IPAL","Iuran masyarakat","Bangunan dan fasilitasi IPAL","Serah terima aset","3.6631899","98.7469862"
"70","manalu_garang","IPALD Desa Tanjung Rejo Dusun IV (Tahap II) Kec. Percut Sei Tuan_Sanimas IDB 2019","Dusun IV lorong mulia Desa Tanjung Rejo","2019","2019","50","28","Anaerobic baffled reactor-bak pengendapan kedua","Baik","Kelompok Swadaya Masyarakat (KSM)","Tidak dilakukan","KSM Mulia Rejo","KSM MULIA REJO","1 orang","Perawatan dan pemeliharaan IPAL","Tidak ada","Bangunan dan fasilitasi IPAL","Serah terima aset","3.6847638","98.740562"
"71","Chairul Ichsan","IPALD Desa Cinta Damai Kec. Percut Sei Tuan - DAK 2019","Desa Cinta Damai Dusun I Kec. Percut Sei Tuan","2019","2019","50","45","Anaerobic baffled reactor-bak pengendapan kedua","Baik","Kelompok Swadaya Masyarakat (KSM)","Tidak dilakukan","KSM Karya Cinta","KSM KARYA CINTA","3 orang","Perawatan dan pemeliharaan IPAL","Tidak ada","Bangunan dan fasilitasi IPAL","Serah terima aset","3.6839685","98.7662947"
"72","Chairul Ichsan","IPALD Desa Lantasan Baru (Dusun II) Kec. Patumbak_Sanimas IDB 2019","Jalan Bajul gg Kampung Baru dusun II Desa Lantasan Baru Kecamatan Patumbak","2019","2019","50","45","Anaerobic baffled reactor-bak pengendapan kedua","Baik","Kelompok Swadaya Masyarakat (KSM)","Tidak dilakukan","KSM Lubuk Bajul","KSM LUBUK BAJUL","1 orang","Perawatan dan pemeliharaan IPAL","Tidak ada","Bangunan dan fasilitasi IPAL","Serah terima aset","3.435454","98.7055148"
"73","Chairul Ichsan","IPALD Desa Lantasan Lama (Dusun IV) Kec. Patumbak_Sanimas IDB 2019","Jalan Bandrek Ujung dusun IV Desa Lantasan Lama Kec. Patumbak","2019","2019","50","35","Anaerobic baffled reactor-bak pengendapan kedua","Baik","Kelompok Swadaya Masyarakat (KSM)","Tidak dilakukan","KSM Griya Nabila","KSM GRIYA NABILA","3 orang","Perawatan dan pemeliharaan IPAL","Iuran masyarakat","Bangunan dan fasilitasi IPAL","Serah terima aset","3.4806312","98.7009744"
"74","manalu_garang","IPALD Desa Sigara-gara Dusun V (Tahap II) Kec. Patumbak_Sanimas IDB 2019","Perumahan Bumi Serdang Indah/jl. Intan mutiara/jl. Delima raya dusun V","2019","2019","60","50","Anaerobic baffled reactor-bak pengendapan kedua","Baik","Kelompok Swadaya Masyarakat (KSM)","Tidak dilakukan","KSM Berlian","KSM BERLIAN","2 orang","Perawatan dan pemeliharaan IPAL","Iuran masyarakat","Bangunan dan fasilitasi IPAL","Serah terima aset","3.4867076","98.7010084"
"75","manalu_garang","IPALD Dusun X Desa Marindal I Kec. Patumbak - DAK 2019","Jl. Pelajar ujung gg. Pena 16","2019","2019","50","50","Anaerobic baffled reactor-bak pengendapan kedua","Baik","Kelompok Swadaya Masyarakat (KSM)","Tidak dilakukan","KSM Pelajar","KSM PELAJAR","2 orang","Perawatan dan pemeliharaan IPAL","Tidak ada","Bangunan dan fasilitasi IPAL","Serah terima aset","3.5001502","98.702214"
"76","manalu_garang","IPALD Dusun II Desa Lantasan Baru Kec. Patumbak - DAK 2019","Jl.Bajul gg. Syukur dusun II DESA LANTASAN BARU","2019","2019","60","58","Anaerobic baffled reactor-bak pengendapan kedua","Rusak","Kelompok Swadaya Masyarakat (KSM)","Tidak dilakukan","KSM Jaya Baru","KSM JAYA BARU","1 orang","Perawatan dan pemeliharaan IPAL","Tidak ada","Bangunan dan fasilitasi IPAL","Serah terima aset","3.4384776","98.7053978"
"77","Chairul Ichsan","IPALD Desa Tanjung Morawa B Kec. Tanjung Morawa_(2019)","Jalan Industri Gg Family Dusun I Desa Tanjung Morawa B Kec. Tanjung Morawa","2019","2019","60","50","Anaerobic baffled reactor-bak pengendapan kedua","Baik","Kelompok Swadaya Masyarakat (KSM)","Tidak dilakukan","KSM Family Sejahtera","KSM FAMILY SEJAHTERA","0 orang","Perawatan dan pemeliharaan IPAL","Tidak ada","Bangunan dan fasilitasi IPAL","Serah terima aset","3.5221","98.809648"
"78","Chairul Ichsan","IPALD Kel. Delitua Timur Kec. Deli Tua_(DAK 2019)","Kel. Deli Tua Timur Kec. Deli Tua","2019","2019","30","30","Anaerobic baffled reactor-bak pengendapan kedua","Baik","Kelompok Swadaya Masyarakat (KSM)","Tidak dilakukan","KSM Nogio","KSM NOGIO","5 orang","Perawatan dan pemeliharaan IPAL","Iuran masyarakat","Bangunan dan fasilitasi IPAL","Serah terima aset","3.4928564","98.6844891"
"79","Chairul Ichsan","IPALD dan Perpipaan Dusun Dusun V Desa Suka Makmur Kec. Deli Tua_Sanimas IDB 2019","Dusun V Jalan Deli Tua gg Melur","2019","2019","60","16","Anaerobic baffled reactor-bak pengendapan kedua","Baik","Kelompok Swadaya Masyarakat (KSM)","Tidak dilakukan","KSM Dahlia","KSM DAHLIA","2 orang","Perawatan dan pemeliharaan IPAL","Tidak ada","Bangunan dan fasilitasi IPAL","Serah terima aset","3.5129051","98.6816647"
"80","manalu_garang","IPAL dan Perpipaan Dusun III Desa Suka Makmur Kec. Deli Tua_Sanimas IDB 2019","Jl. Aman gg dahlia tengah dusun III Kec. Deli Tua","2019","2019","60","50","Anaerobic baffled reactor-bak pengendapan kedua","Baik","Kelompok Swadaya Masyarakat (KSM)","Tidak dilakukan","KSM Melati Sukma","KSM MELATI SUKMA/Ketua Arwendi","5 orang","Perawatan dan pemeliharaan IPAL","Iuran masyarakat","Bangunan dan fasilitasi IPAL","Serah terima aset","3.513638","98.683652"
"81","manalu_garang","IPALD Lingkungan V - Tahap II Kel. Deli Tua Barat Kec. Deli Tua_Sanimas IDB 2019","Jl Pamah Gg jafar lingkungan IV Kel. Deli Tua Barat","2019","2019","60","35","Anaerobic baffled reactor-bak pengendapan kedua","Baik","Kelompok Swadaya Masyarakat (KSM)","Tidak dilakukan","KSM Babes Tinja","KSM BABES TINJA","2 orang","Perawatan dan pemeliharaan IPAL","Tidak ada","Bangunan dan fasilitasi IPAL","Serah terima aset","3.486502","98.6790418"
"82","manalu_garang","IPALD Dusun IX  Desa Mekar Sari Kec. Deli Tua_Sanimas IDB 2019","Jl. Sejahtera dusun IX Desa Mekar Sari","2019","2019","60","54","Anaerobic baffled reactor-bak pengendapan kedua","Baik","Kelompok Swadaya Masyarakat (KSM)","Tidak dilakukan","KSM Deli Sejahtera","KSM DELI SEJAHTERA","1 orang","Perawatan dan pemeliharaan IPAL","Tidak ada","Bangunan dan fasilitasi IPAL","Serah terima aset","3.4998069","98.6755675"
"83","manalu_garang","IPALD Dusun VII Desa Tanjung Sari Kec. Batang Kuis_DAK 2019","Jl. Batang kuis gg. Mesjid dusun VII","2019","2019","60","40","Anaerobic baffled reactor-bak pengendapan kedua","Baik","Kelompok Swadaya Masyarakat (KSM)","Tidak dilakukan","KSM Tanjung Asa","KSM TANJUNG ASA","2 orang","Perawatan dan pemeliharaan IPAL","Iuran masyarakat","Bangunan dan fasilitasi IPAL","Serah terima aset","3.6090603","98.8061887"
"84","manalu_garang","IPALD Desa Cintai Damai Kec. Percut Sei Tuan - DAK 2021","Jl Cinta Damai gg. Jabat Dusun I","2021","2021","100","100","Anaerobic baffled reactor-bak pengendapan kedua","Baik","Kelompok Swadaya Masyarakat (KSM)","Tidak dilakukan","KSM Karya Cinta","KSM KARYA CINTA","3 orang","Perawatan dan pemeliharaan IPAL","Tidak ada","Bangunan dan fasilitasi IPAL","Serah terima aset","3.6864469","98.767848"
"85","Chairul Ichsan","IPALD Dusun VIII Desa Wonosari Kec. Tanjung Morawa_(DAK 2021)","Dusun VIII Desa Wonosari kec. Tanjung Morawa","2021","2021","50","1","Anaerobic baffled reactor-bak pengendapan kedua","Baik","Kelompok Swadaya Masyarakat (KSM)","Tidak dilakukan","KSM Mawar","KSM MAWAR","1 orang","Perawatan dan pemeliharaan IPAL","Tidak ada","Bangunan dan fasilitasi IPAL","Serah terima aset","3.5617637","98.8237675"
"86","manalu_garang","IPALD Dusun II Desa Telaga Sari Kec. Sunggal_(DAK 2021)","Dusun II/jl. Glugur rimbun/ Pesantren Madani ikhwanul hasanah","2021","2021","50","50","Anaerobic baffled reactor-bak pengendapan kedua","Baik","Kelompok Swadaya Masyarakat (KSM)","Tidak dilakukan","KSM Madani","KSM MADANI/selamet Riyadi","3 orang","Perawatan dan pemeliharaan IPAL","Iuran masyarakat","Bangunan dan fasilitasi IPAL","Serah terima aset","3.537461","98.5517834"
"87","Chairul Ichsan","IPALD Dusun II Desa Emplasmen Kuala Namu kec. Beringin_DAK 2021","Jalan pendidikan Dusun II Desa Emplasmen Kuala Namu Kec. Beringin","2021","2021","50","30","Anaerobic baffled reactor-bak pengendapan kedua","Baik","Kelompok Swadaya Masyarakat (KSM)","Tidak dilakukan","KSM Seroja","KSM SEROJA","3 orang","Perawatan dan pemeliharaan IPAL","Iuran masyarakat","Bangunan dan fasilitasi IPAL","Serah terima aset","3.5875897","98.8788389"
"88","chairul Ichsan","IPALD Desa Rugemuk Kec. Pantai Labu_DAK 2021","Jl. Dusun III KOMPLEK PERUMAHAN NELAYAN DESA RUGEMUK","2021","2021","60","45","Anaerobic baffled reactor-bak pengendapan kedua","Baik","Kelompok Swadaya Masyarakat (KSM)","Tidak dilakukan","KSM Berseri","KSM BERSERI","0 orang","Perawatan dan pemeliharaan IPAL","Tidak ada","Bangunan dan fasilitasi IPAL","Serah terima aset","3.6868688","98.8723247"
"89","Chairul Ichsan","IPALD Dusun III Desa Denai Kuala Kec. Pantai Labu_DAK 2021","Gg keluarga Dusun III Desa Denai Kuala Kec. Pantai Labu","2021","2021","60","50","Anaerobic baffled reactor-bak pengendapan kedua","Baik","Kelompok Swadaya Masyarakat (KSM)","Tidak dilakukan","KSM Barokah","KSM BAROKAH","3 orang","Perawatan dan pemeliharaan IPAL","Tidak ada","Bangunan dan fasilitasi IPAL","Serah terima aset","3.6564175","98.937897"
